Guesses,Time,Wordle,FinalWord,Matching,TotalTime
5,0.11764001846313477,flume,flume,True,
4,0.09872317314147949,abate,abate,True,
5,0.11067795753479004,lilac,lilac,True,
3,0.09303092956542969,hutch,hutch,True,
5,0.11926698684692383,album,album,True,
3,0.09935379028320312,heist,heist,True,
5,0.11652779579162598,ample,ample,True,
5,0.10862588882446289,inane,inane,True,
5,0.1022038459777832,floss,floss,True,
3,0.10716509819030762,shirk,shirk,True,
5,0.10692477226257324,itchy,itchy,True,
4,0.11491918563842773,rhyme,rhyme,True,
4,0.10505104064941406,croak,croak,True,
2,0.09398484230041504,aloud,aloud,True,
6,0.14357280731201172,pinky,pinky,True,
6,0.13824224472045898,sound,pound,False,
6,0.12935686111450195,wrong,wrong,True,
5,0.12108683586120605,bread,bread,True,
2,0.0962677001953125,alien,alien,True,
4,0.11606478691101074,store,store,True,
5,0.12825918197631836,cedar,cedar,True,
5,0.1105499267578125,alone,alone,True,
4,0.10976600646972656,spend,spend,True,
3,0.10114002227783203,awful,awful,True,
4,0.10625004768371582,grime,grime,True,
3,0.0995330810546875,ninth,ninth,True,
4,0.10126709938049316,usurp,usurp,True,
6,0.12336516380310059,moose,moose,True,
4,0.10652017593383789,robin,robin,True,
4,0.11043691635131836,heron,heron,True,
6,0.1225728988647461,bribe,bribe,True,
3,0.09464001655578613,alpha,alpha,True,
3,0.10279202461242676,cigar,cigar,True,
5,0.1393599510192871,swine,swine,True,
6,0.12703514099121094,power,power,True,
5,0.11463713645935059,waltz,waltz,True,
5,0.10916781425476074,gully,gully,True,
3,0.10037589073181152,badge,badge,True,
5,0.10616922378540039,booze,booze,True,
4,0.11292576789855957,maybe,maybe,True,
4,0.11183810234069824,duvet,duvet,True,
5,0.09578990936279297,civic,civic,True,
4,0.10454773902893066,maxim,maxim,True,
5,0.09616589546203613,madam,madam,True,
4,0.10658001899719238,horde,horde,True,
4,0.11966919898986816,chill,chill,True,
6,0.10686492919921875,loopy,loggy,False,
4,0.10836315155029297,cling,cling,True,
5,0.11845016479492188,craze,craze,True,
5,0.10888910293579102,click,click,True,
4,0.11066603660583496,parer,parer,True,
4,0.11046600341796875,smear,smear,True,
3,0.10009193420410156,picky,picky,True,
5,0.10485005378723145,mossy,mossy,True,
4,0.11891889572143555,atone,atone,True,
4,0.10181307792663574,tiara,tiara,True,
3,0.09446501731872559,trite,trite,True,
4,0.11304497718811035,saute,saute,True,
5,0.10844802856445312,antic,antic,True,
5,0.12463688850402832,delta,delta,True,
5,0.10069608688354492,cinch,cinch,True,
4,0.1063380241394043,being,being,True,
4,0.1077570915222168,upset,upset,True,
3,0.09830522537231445,duchy,duchy,True,
6,0.13511395454406738,blame,blame,True,
4,0.10351300239562988,bring,bring,True,
4,0.10492491722106934,proxy,proxy,True,
4,0.09853982925415039,troll,troll,True,
3,0.0976717472076416,asset,asset,True,
4,0.11200690269470215,vague,vague,True,
6,0.12397193908691406,unlit,unlit,True,
5,0.1271679401397705,shake,shake,True,
4,0.09588479995727539,wooer,wooer,True,
6,0.12752699851989746,quiet,quiet,True,
4,0.11079692840576172,olive,olive,True,
5,0.12901687622070312,under,under,True,
5,0.12047696113586426,clerk,clerk,True,
4,0.11732006072998047,purge,purge,True,
5,0.11380815505981445,pleat,pleat,True,
4,0.10121607780456543,rodeo,rodeo,True,
5,0.11148786544799805,thump,thump,True,
5,0.12318897247314453,feast,feast,True,
4,0.1048431396484375,banal,banal,True,
4,0.10778093338012695,soggy,soggy,True,
5,0.1287553310394287,grove,grove,True,
5,0.12034988403320312,quirk,quirk,True,
6,0.14111828804016113,pound,pound,True,
4,0.10061311721801758,elude,elude,True,
4,0.11287808418273926,flirt,flirt,True,
5,0.11309695243835449,parry,parry,True,
4,0.10100388526916504,robot,robot,True,
6,0.13697600364685059,break,break,True,
5,0.10599398612976074,where,where,True,
4,0.10803794860839844,snafu,snafu,True,
4,0.1041250228881836,boozy,boozy,True,
3,0.10336065292358398,beady,beady,True,
6,0.14282703399658203,model,model,True,
3,0.10320472717285156,rusty,rusty,True,
6,0.12803196907043457,magic,magic,True,
4,0.1150050163269043,chant,chant,True,
5,0.11601996421813965,wrote,wrote,True,
6,0.1356649398803711,voice,voice,True,
4,0.10376501083374023,stand,stand,True,
6,0.12437820434570312,joker,joker,True,
4,0.10758709907531738,clean,clean,True,
6,0.12914109230041504,groin,groin,True,
6,0.10375285148620605,truss,truss,True,
4,0.1222231388092041,fling,fling,True,
4,0.11682009696960449,impel,impel,True,
5,0.12778306007385254,lying,lying,True,
4,0.1178140640258789,mince,mince,True,
3,0.10972404479980469,shine,shine,True,
3,0.10257196426391602,their,their,True,
5,0.12923812866210938,crave,crave,True,
5,0.09946489334106445,donor,donor,True,
3,0.10469627380371094,input,input,True,
3,0.10204219818115234,humor,humor,True,
3,0.10204219818115234,drain,drain,True,
4,0.10267210006713867,photo,photo,True,
4,0.12447881698608398,acute,acute,True,
5,0.10461282730102539,shyly,shyly,True,
4,0.10951495170593262,moist,moist,True,
4,0.1082921028137207,skimp,skimp,True,
4,0.10628628730773926,greet,greet,True,
5,0.10652399063110352,belly,belly,True,
6,0.12415266036987305,briar,briar,True,
4,0.11009597778320312,frock,frock,True,
6,0.11404204368591309,clock,clock,True,
5,0.12584495544433594,locus,locus,True,
3,0.099822998046875,twice,twice,True,
4,0.10982775688171387,range,range,True,
4,0.10610294342041016,ought,ought,True,
4,0.10784411430358887,staff,staff,True,
6,0.1335747241973877,gripe,gripe,True,
4,0.11010408401489258,cater,cater,True,
5,0.12203073501586914,beast,beast,True,
6,0.13044977188110352,stage,stage,True,
4,0.12009286880493164,hater,hater,True,
3,0.10038399696350098,scarf,scarf,True,
5,0.11507081985473633,rival,rival,True,
5,0.10495781898498535,aroma,aroma,True,
3,0.09452700614929199,agree,agree,True,
4,0.11043357849121094,crate,crate,True,
6,0.1306591033935547,cramp,cramp,True,
5,0.10675787925720215,pulpy,pulpy,True,
4,0.10960602760314941,aback,aback,True,
5,0.11841583251953125,snack,snack,True,
3,0.0951700210571289,rupee,rupee,True,
5,0.11464810371398926,cheat,cheat,True,
3,0.11153697967529297,those,those,True,
5,0.10834717750549316,dodge,dodge,True,
4,0.1174020767211914,pilot,pilot,True,
5,0.10406613349914551,again,again,True,
6,0.13204407691955566,whiff,whipt,False,
5,0.12024521827697754,manor,manor,True,
6,0.14254498481750488,loser,loner,False,
3,0.106842041015625,adore,adore,True,
3,0.10402369499206543,zesty,zesty,True,
5,0.10858893394470215,lunar,lunar,True,
6,0.11686921119689941,hatch,hatch,True,
3,0.1075742244720459,tilde,tilde,True,
6,0.12330198287963867,forge,gorge,False,
4,0.10828804969787598,rogue,rogue,True,
4,0.11019706726074219,chunk,chunk,True,
6,0.12806224822998047,linen,linen,True,
3,0.1005697250366211,lofty,lofty,True,
3,0.10211706161499023,borax,borax,True,
4,0.10841894149780273,badly,badly,True,
4,0.11164402961730957,avert,avert,True,
5,0.1220390796661377,flask,flask,True,
5,0.10470986366271973,mummy,mummy,True,
5,0.12148714065551758,snarl,snarl,True,
4,0.11119627952575684,mealy,mealy,True,
4,0.11572909355163574,naive,naive,True,
4,0.11496901512145996,liver,liver,True,
5,0.12042021751403809,usher,usher,True,
4,0.10702896118164062,group,group,True,
5,0.11424779891967773,wince,wince,True,
5,0.1226358413696289,belch,belch,True,
5,0.1192789077758789,homer,homer,True,
5,0.11450314521789551,doubt,doubt,True,
3,0.10677599906921387,worse,worse,True,
4,0.11968278884887695,slump,slump,True,
5,0.11805105209350586,class,class,True,
5,0.1133890151977539,belie,belie,True,
3,0.09595012664794922,torso,torso,True,
3,0.09891295433044434,count,count,True,
4,0.10977840423583984,maple,maple,True,
